subnational1,year,extent_2000_ha,loss_ha,loss_rate_%,gfw_aboveground_carbon_stocks_2000__Mg_C,avg_gfw_aboveground_carbon_stocks_2000__Mg_C_ha-1,emission_Mg_CO2e,emission_estimated_CO2e,carbon_loss_MgC,lag_1,lag_2,lag_3,lag_5,lag_7,lag_10,roll_mean_3,roll_std_3,pct_change_3,roll_mean_5,roll_std_5,pct_change_5,roll_mean_7,roll_std_7,pct_change_7,roll_mean_10,roll_std_10,pct_change_10,trend,sin_year,cos_year,prov_enc,prov_mean_loss
Kepulauan Riau,2012,689780,9375,1.3591289976514251,65301369,398,5569448,13693687.5,3731250,6945.0,4797.0,5234.0,2688.0,8092.0,5529.0,5658.666666666667,1135.2234728533897,0.7911730989682844,5674.0,2274.169628680061,2.4877232142857144,5985.0,2078.2664250291846,0.15855165595650034,5373.2,2165.7048018856235,0.695604991861096,11,0.951056516295134,0.3090169943750078,16,6369.791666666667
Kepulauan Riau,2013,689780,4763,0.6905100176867988,65301369,398,2926094,6957123.58,1895674,9375.0,6945.0,4797.0,8706.0,5433.0,1775.0,7039.0,2290.4471179191482,-0.007087763185324114,7011.4,2032.5723357387928,-0.45290604181024585,6168.285714285715,2335.6884577140754,-0.12332044910730722,5757.8,2510.499144707496,1.6833802816901406,12,0.9510565162951808,-0.30901699437486335,16,6369.791666666667
Kepulauan Riau,2014,689780,19231,2.787990373742353,65301369,398,10628370,28089952.46,7653938,4763.0,9375.0,6945.0,5234.0,2688.0,4533.0,7027.666666666667,2307.1110361916835,1.769042476601872,6222.8,1974.8154850544252,2.6742453190676345,6072.571428571428,2384.0685712561153,6.154389880952381,6056.6,2133.270061566756,3.2424442973748073,13,0.5877852522925647,-0.8090169943748808,16,6369.791666666667
Kepulauan Riau,2015,689780,5869,0.8508509959697295,65301369,398,3215468,8572613.54,2335862,19231.0,4763.0,9375.0,4797.0,8706.0,8092.0,11123.0,7390.695772387374,-0.3739733333333334,9022.2,6013.566429333796,0.22347300396080882,8435.857142857143,5110.378016963111,-0.3258672180105674,7526.4,4601.906711114326,-0.27471576866040537,14,1.3817110797565086e-13,-1.0,16,6369.791666666667
Kepulauan Riau,2016,689780,13058,1.8930673548087795,65301369,398,6683777,19073298.28,5197084,5869.0,19231.0,4763.0,6945.0,5234.0,5433.0,9954.333333333334,8052.839085274075,1.7415494436279655,9236.6,5841.926976607153,0.8802015838732902,8030.571428571428,5197.142864348684,1.4948414214749715,7304.1,4625.182361572254,1.4034603349898767,15,-0.5877852522925252,-0.8090169943749096,16,6369.791666666667
Kepulauan Riau,2017,689780,7993,1.1587752616776363,65301369,398,4153721,11675055.379999999,3181214,13058.0,5869.0,19231.0,9375.0,4797.0,2688.0,12719.333333333334,6687.4346601157995,-0.5843689875721492,10459.2,5881.971540224438,-0.14741333333333329,9148.285714285714,5334.963189954014,0.6662497394204712,8066.6,4902.642081347464,1.9735863095238093,16,-0.9510565162950955,-0.3090169943751262,16,6369.791666666667
Kepulauan Riau,2018,689780,6266,0.9084055785902752,65301369,398,3286840,9152495.56,2493868,7993.0,13058.0,5869.0,4763.0,6945.0,8706.0,8973.333333333334,3693.402270714318,0.06764355086045315,10182.8,5977.35361175916,0.3155574217929875,9604.857142857143,5028.465452759193,-0.09776817854571629,8597.1,4528.733829672611,-0.2802664828853664,17,-0.9510565162951491,0.3090169943749612,16,6369.791666666667
Kepulauan Riau,2019,689780,8888,1.2885267766534256,65301369,398,4512761,12982346.08,3537424,6266.0,7993.0,13058.0,19231.0,9375.0,5234.0,9105.666666666666,3530.061803045054,-0.31934446316434373,10483.4,5666.354939465957,-0.5378295460454474,9507.857142857143,5094.442279869906,-0.051946666666666697,8353.1,4587.563852418971,0.6981276270538785,18,-0.5877852522924816,0.8090169943749413,16,6369.791666666667
Kepulauan Riau,2020,689780,8779,1.272724636840732,65301369,398,4743478,12823134.14,3494042,8888.0,6266.0,7993.0,5869.0,4763.0,4797.0,7715.666666666667,1332.818942436495,0.09833604403853369,8414.8,2874.8729885006196,0.4958255239393423,9438.285714285714,5099.881427199807,0.8431660718034852,8718.5,4455.132377384665,0.8301021471753178,19,-3.5264875970351066e-14,1.0,16,6369.791666666667
Kepulauan Riau,2021,689780,4391,0.6365797790599902,65301369,398,2380199,6413758.06,1747618,8779.0,8888.0,6266.0,13058.0,19231.0,6945.0,7977.666666666667,1483.3483519785793,-0.29923396105968725,8996.8,2500.874986881675,-0.6637310461020065,10012.0,4696.1876027336,-0.7716707399511206,9116.7,4238.365855166742,-0.3677465802735781,20,0.5877852522924245,0.8090169943749828,16,6369.791666666667
Kepulauan Riau,2022,689780,2845,0.4124503464872858,65301369,398,1560701,4155577.6999999997,1132310,4391.0,8779.0,8888.0,7993.0,5869.0,9375.0,7352.666666666667,2565.457529041846,-0.6799054905490549,7263.4,1917.9528930634922,-0.6440635556111598,7892.0,2812.7669651198516,-0.5152496166297496,8861.3,4455.176441202228,-0.6965333333333333,21,0.9510565162951273,0.30901699437502833,16,6369.791666666667
Kepulauan Riau,2023,689780,3343,0.48464727884252945,65301369,398,1863024,4882986.38,1330514,2845.0,4391.0,8779.0,6266.0,13058.0,4763.0,5338.333333333333,3078.3387294638746,-0.619204920833808,6233.8,2664.7577188199944,-0.46648579636131504,7460.0,3355.176597449037,-0.7439883596262827,8208.3,4833.968488153977,-0.2981314297711526,22,0.9510565162951875,-0.30901699437484287,16,6369.791666666667
Kepulauan Riau,2024,689780,2623,0.38026617182290007,65301369,398,1463611,3831311.1799999997,1043954,3343.0,2845.0,4391.0,8888.0,7993.0,19231.0,3526.3333333333335,789.1370814484964,-0.4026417672511956,5649.2,2960.178913513642,-0.7048829882988299,6072.142857142857,2571.391091010342,-0.6718378581258602,8066.3,4965.488384844055,-0.8636056367323592,23,0.5877852522923983,-0.8090169943750019,16,6369.791666666667
Lampung,2001,1783131,10335,0.5795984703311198,162224187,542,5670528,20557761.9,5601570,14410.5,14240.5,14297.0,14513.5,14205.5,13514.5,15178.666666666668,4017.0082175396165,0.0633849853059043,17240.6,5139.581227977338,0.05911762543411603,17640.071428571428,6234.743617288343,0.041157114531337746,16975.1,7256.98049774816,0.1856132422614606,0,0.5877852522924594,0.8090169943749574,17,13144.541666666666
Lampung,2002,1783131,9346,0.5241342335476193,162224187,542,5294687,18590502.44,5065532,10335.0,14240.5,14297.0,14513.5,14205.5,13514.5,15178.666666666668,4017.0082175396165,0.0633849853059043,17240.6,5139.581227977338,0.05911762543411603,17640.071428571428,6234.743617288343,0.041157114531337746,16975.1,7256.98049774816,0.1856132422614606,1,0.9510565162951407,0.3090169943749873,17,13144.541666666666
Lampung,2003,1783131,4981,0.2793401045688735,162224187,542,2998867,9907906.34,2699702,9346.0,10335.0,14297.0,14513.5,14205.5,13514.5,15178.666666666668,4017.0082175396165,0.0633849853059043,17240.6,5139.581227977338,0.05911762543411603,17640.071428571428,6234.743617288343,0.041157114531337746,16975.1,7256.98049774816,0.1856132422614606,2,0.9510565162951742,-0.3090169943748839,17,13144.541666666666
Lampung,2004,1783131,10520,0.5899734792339991,162224187,542,5711808,20925752.8,5701840,4981.0,9346.0,10335.0,14513.5,14205.5,13514.5,8220.666666666666,2848.878785297401,0.01790033865505558,17240.6,5139.581227977338,0.05911762543411603,17640.071428571428,6234.743617288343,0.041157114531337746,16975.1,7256.98049774816,0.1856132422614606,3,0.5877852522925473,-0.8090169943748935,17,13144.541666666666
